time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1200,2.5499997442111431,2.5499995836118439,2.5499988425451656,2.5499963709552809,2.5499885976486811,2.5499653140585243,2.54989924103654,2.5497223823361628,2.5492771578890894,2.5482250201874104,2.5458936694861727,2.5410528421912124,2.5316352675831002,2.5144652786148938,2.4851100968672641,2.437999924010736,2.3669376170426917,2.2660213909645877,2.1308568371515038,1.9597925754707985,1.7548369312007901
1260,2.5499994440797145,2.5499991322338516,2.5499977504122682,2.5499933975068605,2.54998049460586,2.5499439960791666,2.5498458912641544,2.5495963454625947,2.548997352459252,2.5476430568157555,2.5447621155085787,2.5389994495312438,2.5281624163747347,2.5089980857238405,2.4771097246344556,2.4271370240631325,2.3532897927578702,2.2502327579151302,2.1141919574763852,1.9440340714491962,1.741969504008047
1320,2.5499988695088871,2.5499982996694683,2.549995863064189,2.5499885705653096,2.54996808458852,2.5499130790192144,2.5497723671517338,2.5494307209315581,2.5486455604436009,2.5469406387213365,2.5434465576718104,2.5366921549292987,2.5243782470969336,2.5032018122717115,2.4688299157254985,2.4161275570129357,2.339703167476519,2.2347495336018435,2.0980464720659775,1.9288915209811577,1.7297373542300751
1380,2.5499978306311082,2.5499968430310207,2.5499927510270419,2.5499810557019016,2.5499497691959947,2.5498696742076392,2.549673861164889,2.5492182926453175,2.5482122719123548,2.5461072768727924,2.5419384375783562,2.5341285090840637,2.5202904052195771,2.4970955646096042,2.4602976423664233,2.4049970807958472,2.3261886516313437,2.2195545124997746,2.0823713468340888,1.9143384969404955,1.7181333515375412
1440,2.5499960437540401,2.549994409739297,2.549987826009108,2.5499697761224129,2.5499235991606723,2.5498104438388896,2.5495451006013519,2.5489515430953551,2.547688088097543,2.5451331989489092,2.5402304442072996,2.5313073161392294,2.5159068967791764,2.4906971930587543,2.4515374440080038,2.3937701180643667,2.3127627662116987,2.2046523479658799,2.0671684404071744,1.9003581799824909,1.7069966929655809
1500,2.5499931023455495,2.5499905072249893,2.549980308231377,2.5499533810204538,2.5498872539365105,2.5497316079860193,2.5493803968499358,2.5486227448685028,2.5470638321324914,2.5440094560402242,2.5383166736781195,2.5282291101666097,2.51123741256287,2.4840260235324823,2.4425753977865714,2.3824734130202128,2.2994458672054439,2.1900524648153059,2.0524290168914208,1.8869027582853666,1.6962491320647219
1560,2.549988444734189,2.5499844700530936,2.5499691934083786,2.5499302173961778,2.549838029691649,2.5496289651286652,2.5491737136044259,2.5482240808187582,2.5463307085973286,2.5427280990878782,2.5361928087323058,2.5248963367437551,2.5062934742780971,2.4771028044907153,2.4334386071206966,2.3711348407125237,2.2862596833139239,2.1757621022591702,2.0381326789359173,1.8739140307913786,1.6859248263603404
1620,2.5499813196914669,2.5499754257893645,2.549953221074043,2.5498983074143,2.5497728378193827,2.5494979271913678,2.5489187500001016,2.5477477724382318,2.5454804499939327,2.5412822862512083,2.533856089283093,2.5213130034608788,2.5010873776735267,2.4699471608822914,2.4241497872823046,2.3597729478186045,2.2732094267826621,2.1617636042601407,2.0242376396886299,1.8613715126551089,1.6760010368622529
1680,2.549970751354373,2.5499622611200397,2.5499308457513061,2.5498553321642503,2.5496882124128417,2.5493335609708323,2.5486090150344625,2.5471861598701273,2.5445053334445475,2.5396661216309604,2.5313048384731127,2.517483831090308,2.4956312019355744,2.4625773972746647,2.4147300054971721,2.348406368623817,2.2603056478432122,2.1480566562241981,2.0107381783808393,1.8492494956742784,1.6664382961199362
1740,2.5499555046168183,2.5499435892003799,2.5499002112960722,2.5497986205852214,2.5495803228817495,2.5491306305641657,2.5482378960769552,2.5465317792318571,2.5433982457167268,2.5378747154664931,2.5285386026224912,2.5134146528791455,2.4899376197932988,2.4550114174103834,2.4051981842938632,2.3370485096276634,2.2475489087716305,2.1346234242957696,1.9975952541098927,1.8375134452143551,1.6573267842264872
