time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
457,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999996081,2.5499999999899972,2.5499999997924814,2.5499999964438325,2.549999950170208,2.5499994296394144,2.5499946653832488,2.5499591819388314,2.5497440074869488,2.5486803055688898,2.54438483822587,2.5301642039753789,2.4913304399301195,2.4029828764686845,2.2330191544478888,1.9503927924450348
458,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999995833,2.5499999999894856,2.5499999997831941,2.5499999963069802,2.5499999485403615,2.5499994139842408,2.5499945443145853,2.5499584292133797,2.5497402501677193,2.548665267591729,2.5443366376595473,2.5300405712572296,2.4910766926678312,2.4025661513763925,2.2324731793443631,1.9498302512515275
459,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999995584,2.54999999998895,2.5499999997735321,2.5499999961654707,2.5499999468643586,2.5499993979670581,2.5499944210135537,2.5499576657551009,2.5497364531036375,2.5486501184406589,2.5442882104725593,2.5299166289028951,2.4908227422707991,2.4021495999561382,2.2319278361315806,1.9492685050519269
460,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999995318,2.5499999999883887,2.5499999997634828,2.5499999960191646,2.549999945141082,2.5499993815809923,2.5499942954482444,2.5499568914557473,2.5497326160425633,2.5486348577777536,2.5442395566410974,2.5297923777472571,2.4905685902018582,2.4017332228548707,2.2313831234908554,1.9487075515693859
461,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999995024,2.5499999999878007,2.549999999753032,2.5499999958679194,2.5499999433694018,2.5499993648191199,2.5499941675867519,2.5499561062080298,2.5497287387377958,2.5486194852824138,2.5441906761765658,2.5296678186690267,2.4903142379458449,2.4013170206886154,2.2308390400188105,1.9481473884264353
462,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.549999999999474,2.5499999999871865,2.549999999742167,2.5499999957115964,2.5499999415482293,2.5499993476749419,2.5499940374000412,2.5499553099191345,2.5497248209972865,2.5486040007869679,2.5441415693982852,2.5295429529586091,2.4900596872460117,2.40090099383014,2.2302955834744589,1.9475880122004445
463,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999994438,2.5499999999865439,2.5499999997308702,2.5499999955500443,2.5499999396763529,2.5499993301410484,2.549993904853824,2.5499545024721675,2.5497208625424705,2.5485884038857325,2.5440922361436775,2.5294177812481835,2.489804939411834,2.4004851430208753,2.2297527529666921,1.9470294211703087
464,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999994105,2.5499999999858729,2.5499999997191285,2.5499999953831125,2.5499999377526246,2.5499993122106104,2.5499937699176369,2.5499536837692176,2.5497168631658349,2.5485726943710603,2.5440426766487305,2.5292923047038762,2.4895499960898126,2.4000694686884381,2.2292105465163976,1.9464716122557335
465,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999993772,2.5499999999851695,2.5499999997069258,2.5499999952106478,2.5499999357758472,2.5499992938764771,2.5499936325593553,2.5499528537053484,2.5497128226357502,2.5485568719699736,2.5439928910162157,2.5291665243058281,2.4892948587982078,2.3996539713589939,2.2286689625285692,1.9459145828651148
466,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999993399,2.5499999999844345,2.549999999694248,2.5499999950324943,2.5499999337448007,2.5499992751314045,2.5499934927465953,2.5499520121752557,2.5497087407208525,2.5485409364116727,2.5439428793520857,2.5290404410330134,2.4890395290466989,2.3992386515516531,2.2281279994143652,1.9453583304209918
467,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999993022,2.5499999999836662,2.5499999996810767,2.549999994848489,2.5499999316582413,2.5499992559680567,2.549993350446714,2.5499511590732702,2.5497046171900575,2.5485248874275328,2.5438926417654377,2.5289140558632073,2.4887840083364408,2.3988235097785457,2.2275876555910852,1.9448028523599277
468,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999992626,2.5499999999828633,2.5499999996673965,2.5499999946584646,2.5499999295149065,2.5499992363790054,2.5499932056268109,2.5499502942933616,2.5497004518125603,2.5485087247511031,2.543842178368493,2.5287873697729739,2.4885282981601069,2.3984085465448874,2.2270479294821386,1.9442481461323937
469,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999992204,2.5499999999820244,2.5499999996531892,2.5499999944622536,2.5499999273135088,2.549999216356726,2.5499930582537238,2.5499494177291435,2.5496962443578499,2.5484924481181066,2.543791489276559,2.528660383737634,2.4882724000019385,2.3979937623490564,2.2265088195170222,1.9436942092026603
470,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999991774,2.5499999999811478,2.5499999996384366,2.549999994259684,2.5499999250527394,2.5499991958936006,2.5499929082940325,2.5499485292738768,2.5496919945957144,2.5484760572664338,2.5437405746080053,2.5285330987312502,2.4880163153377897,2.3975791576826606,2.2259703241312874,1.9431410390486874
471,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999991303,2.549999999980233,2.54999999962312,2.5499999940505762,2.5499999227312657,2.5499991749819184,2.5499927557140598,2.5499476288204743,2.5496877022962479,2.5484595519361433,2.5436894344842305,2.5284055157266021,2.4877600456351772,2.3971647330306087,2.2254324417665172,1.9425886331620159
472,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999990806,2.5499999999792768,2.5499999996072225,2.5499999938347497,2.549999920347731,2.549999153613868,2.5499926004798654,2.549946716261501,2.5496833672298589,2.5484429318694564,2.5436380690296403,2.5282776356951646,2.4875035923533257,2.3967504888711764,2.2248951708702949,1.9420369890476614
